_id,livraison,livraison_url,name,prix,prix_url,reduction,reduction_url,url
633ee895d18d1510174000aa,,,"XIAOMI Redmi Note 11S 6,5"" (6Go, 128Go) MediaTek Helio G 96 -108MP/16MP- Gris","2,699.00 Dhs",https://www.jumia.ma/xiaomi-redmi-note-11s-65-6go-128go-mediatek-helio-g-96-108mp16mp-gris-56763825.html,,,https://www.jumia.ma/xiaomi-redmi-note-11s-65-6go-128go-mediatek-helio-g-96-108mp16mp-gris-56763825.html
633ee895d18d1510174000ab,,,"Infinix Note 12 - 6.7"" - (8 Go-256 Go) AMOLED -Helio G 96 - 50 MP - Noir","2,750.00 Dhs",https://www.jumia.ma/infinix-note-12-6.7-8-go-256-go-amoled-helio-g-96-50-mp-noir-55161185.html,,,https://www.jumia.ma/infinix-note-12-6.7-8-go-256-go-amoled-helio-g-96-50-mp-noir-55161185.html
633ee895d18d1510174000ac,,,"XIAOMI Redmi Note 11 Pro - FHD+ de 6,67â€™â€™(6Go, 128Go) - 108MP- Gris - Band + Ã‰couteur","3,099.00 Dhs",https://www.jumia.ma/xiaomi-redmi-note-11-pro-fhd-de-6676go-128go-108mp-gris-band-ecouteur-56353216.html,23%,https://www.jumia.ma/xiaomi-redmi-note-11-pro-fhd-de-6676go-128go-108mp-gris-band-ecouteur-56353216.html,https://www.jumia.ma/xiaomi-redmi-note-11-pro-fhd-de-6676go-128go-108mp-gris-band-ecouteur-56353216.html
633ee895d18d1510174000ad,Ã‰ligible Ã  la livraison gratuite,https://www.jumia.ma/oppo-a16k-3go32go-design-3d-652-hd-eye-care-4230mah-black-50994067.html,"Oppo A16K (3Go+32Go) - Design 3D - 6,52"" HD+ Eye Care - 4230mAh - Black","1,399.00 Dhs",https://www.jumia.ma/oppo-a16k-3go32go-design-3d-652-hd-eye-care-4230mah-black-50994067.html,,,https://www.jumia.ma/oppo-a16k-3go32go-design-3d-652-hd-eye-care-4230mah-black-50994067.html
633ee895d18d1510174000ae,,,"XIAOMI Redmi Note 11 6,5"" (4Go, 128Go) MediaTek Helio G88 - 50MP/8MP- Bleu","2,249.00 Dhs",https://www.jumia.ma/xiaomi-redmi-note-11-65-4go-128go-mediatek-helio-g88-50mp8mp-bleu-48316066.html,,,https://www.jumia.ma/xiaomi-redmi-note-11-65-4go-128go-mediatek-helio-g88-50mp8mp-bleu-48316066.html
633ee895d18d1510174000af,,,Samsung GALAXY M52- 5G â€“ 128Go ROM - 8Go Ram - 64 Mpx - Android - Bleu,"3,200.00 Dhs",https://www.jumia.ma/galaxy-m52-5g-128go-rom-8go-ram-64-mpx-android-bleu-samsung-mpg1363649.html,20%,https://www.jumia.ma/galaxy-m52-5g-128go-rom-8go-ram-64-mpx-android-bleu-samsung-mpg1363649.html,https://www.jumia.ma/galaxy-m52-5g-128go-rom-8go-ram-64-mpx-android-bleu-samsung-mpg1363649.html
633ee895d18d1510174000b0,,,"Samsung Galaxy A32 ( 6 GB + 128 GB ) - 64 MP - 6.4""- 5,000mAh - Blanc + Kit + Montre","2,770.00 Dhs",https://www.jumia.ma/galaxy-a32-6-gb-128-gb-64-mp-6.4-5000mah-blanc-kit-montre-samsung-mpg972344.html,,,https://www.jumia.ma/galaxy-a32-6-gb-128-gb-64-mp-6.4-5000mah-blanc-kit-montre-samsung-mpg972344.html
633ee895d18d1510174000b1,,,"XIAOMI Redmi Note 10 - 5G (4Go, 128Go) 48MP+2MP+2MP - Android - Gris","2,049.00 Dhs",https://www.jumia.ma/redmi-note-10-5g-4go-128go-48mp2mp2mp-android-gris-xiaomi-mpg1039148.html,,,https://www.jumia.ma/redmi-note-10-5g-4go-128go-48mp2mp2mp-android-gris-xiaomi-mpg1039148.html
633ee895d18d1510174000b2,,,"Iku X3 - 6.52"" (6 Go -128 Go) Dual Sim-4G - 48MP- 16MP - Mediatek - 5000 mAh- Bleu","1,699.00 Dhs",https://www.jumia.ma/iku-x3-6.52-6-go-128-go-dual-sim-4g-48mp-16mp-mediatek-5000-mah-bleu-47939632.html,,,https://www.jumia.ma/iku-x3-6.52-6-go-128-go-dual-sim-4g-48mp-16mp-mediatek-5000-mah-bleu-47939632.html
633ee895d18d1510174000b3,,,XIAOMI Redmi 10C (4GB -128GB) Snapdragon 680 -5000 mAh-50 MP- NFC-Gray,"1,790.00 Dhs",https://www.jumia.ma/xiaomi-redmi-10c-4gb-128gb-snapdragon-680-5000-mah-50-mp-nfc-gray-57114705.html,,,https://www.jumia.ma/xiaomi-redmi-10c-4gb-128gb-snapdragon-680-5000-mah-50-mp-nfc-gray-57114705.html
